frame,error_m,n_matches,mean_confidence,mean_pixel_uncertainty_px,mean_ratio_test,mean_n_candidates,rotation_std_x_rad,rotation_std_y_rad,rotation_std_z_rad,translation_std_x_m,translation_std_y_m,translation_std_z_m,rotation_std_total_rad,translation_std_total_m
1305031538.343413.png,0.07402531898101951,45,0.948940155132726,0.8154234793481112,0.5653500622280287,23.844444444444445,0.0010628253792775834,0.0008530615746431523,0.00112869474846755,0.005496083258074348,0.006832037503320085,0.005343685677201476,0.0017695377001317094,0.01026833210619843
1305031538.375553.png,0.07705816255053796,41,0.9393096660158294,0.8431541308092898,0.5126271463792316,22.609756097560975,0.0011045928274489806,0.0009248524800725082,0.001265834702813218,0.00638389520944462,0.007608622416619237,0.005969826552787094,0.001917762998702976,0.011588100888161638
1305031538.407511.png,0.07807901840693797,41,0.9383700928287495,0.86190758125334,0.5854127236399937,22.951219512195124,0.0011007799184465355,0.0008853562463410786,0.0011803863198614239,0.005724613973492291,0.007126673764732818,0.0058785050331875335,0.001840892168462434,0.010868187775321394
1305031538.443598.png,0.08028805455156175,42,0.9451671216774629,0.8341890374643887,0.5541784809106598,23.761904761904763,0.0010867070895303845,0.0009306559523979034,0.0011363729494346829,0.006905636492118584,0.00776214470106195,0.006790233534879783,0.001827127877401067,0.012411525981107641
1305031538.475570.png,0.0707197220041248,40,0.923027906506606,0.8480831084667922,0.6281145591246411,25.85,0.0011020166257779962,0.0009112040690598021,0.001341347910949369,0.00663117064871692,0.007856120573514494,0.0065578984922016045,0.00196059881596682,0.012194141514351166
1305031538.507548.png,0.06912391941775929,44,0.9298666188487086,0.831679010896199,0.6343958756678446,22.045454545454547,0.0009691640021912808,0.0007881160437673134,0.0011003792512512308,0.005958857025015197,0.0073948935773807175,0.0062496463730165016,0.0016647042554673434,0.01136883933623472
1305031538.543450.png,0.06422448952952244,35,0.9444678949941521,0.8496208859044704,0.5470344910229038,21.82857142857143,0.0010573530692582181,0.0008438352830442863,0.0012390505415721827,0.006279021686138184,0.00799609964492499,0.00799807432781614,0.0018344753316822018,0.012935722469960258
1305031538.575524.png,0.060883278771092744,47,0.9564210326914966,0.8281561265494002,0.38618225425523117,22.27659574468085,0.0008138358093626654,0.0007568319145996769,0.0009543061252508333,0.005547805720500154,0.006102769744509109,0.006055565575094928,0.0014648629465751587,0.010231902135047264
1305031538.607517.png,0.057260407057512806,38,0.9234183786802334,0.9146687114733181,0.6027137243007514,22.05263157894737,0.0010553972416220364,0.0009853935100840798,0.0010899364101778636,0.007544298108258839,0.007798549993609663,0.006935837410514751,0.0018090951013063506,0.012877874690111065
1305031538.643479.png,0.06553081490006289,44,0.9367562215866251,0.8669576094613423,0.5443259947457673,22.181818181818183,0.0009398527448495857,0.0008143605503341618,0.001030516801436045,0.006352417405501055,0.0072591590051233005,0.007256145927997243,0.001615076210580738,0.012070635860789042
